fm_fp,ts_fp,LedState,ts,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks,event,event_type
16937,30459.33385,2,30006172.57,-0.0888749597496362,-0.6584001418645788,,,False,False,,
16939,30459.3836,2,30006182.54,-0.1445232804781953,-0.7174507447887765,,,False,False,,
16941,30459.43375,2,30006192.52,-0.1970028203378466,-0.68287432761851,,,False,False,,
16943,30459.48412,2,30006202.49,-0.1916886135588855,-0.5779584167127331,,,False,False,,
16945,30459.53458,2,30006212.46,-0.1756436641703042,-0.5694750418751489,,,False,False,,
16947,30459.58424,2,30006222.44,-0.2027705395939419,-0.5025729777135731,,,False,False,,
16949,30459.6352,2,30006232.41,-0.2263670322991252,-0.4887011917603529,,,False,False,,
16951,30459.68451,2,30006242.38,-0.2924679836727798,-0.5726419312220894,,,False,False,,
16953,30459.73504,2,30006252.36,-0.2023671379708039,-0.5706046932554766,,,False,False,,
16955,30459.78493,2,30006262.33,-0.2452836934600608,-0.5750180817093419,,,False,False,,
16957,30459.83497,2,30006272.3,-0.2059713983479289,-0.6057878115739512,,,False,False,,
16959,30459.88585,2,30006282.27,-0.1337170946077277,-0.6601447060282967,,,False,False,,
16961,30459.93571,2,30006292.25,-0.173186755825692,-0.6969791676123331,,,False,False,,
16963,30459.98596,2,30006302.22,-0.1954487866857559,-0.7227327483235632,,,False,False,,
16965,30460.03585,2,30006312.19,-0.0894192067793002,-0.7632715310408451,,,False,False,,
16967,30460.08593,2,30006322.17,-0.0950019167232814,-0.7388047561620162,,,False,False,,
16969,30460.13612,2,30006332.14,-0.0406781802875635,-0.7209156649919063,,,False,False,,
16971,30460.18675,2,30006342.11,0.1341540025600788,-0.7257422528662919,,,False,False,,
16973,30460.23638,2,30006352.09,0.1124200109961956,-0.6915065202153213,,,False,False,,
16975,30460.28677,2,30006362.06,0.2516694439213543,-0.6261888472026466,,,False,False,,
16977,30460.33765,2,30006372.03,0.3691800821545768,-0.5446516450881608,,,False,False,,
16979,30460.38753,2,30006382.0,0.4935571284771439,-0.4425414675319205,,,False,False,,
16981,30460.43715,2,30006391.98,0.61109568492514,-0.3875330503617782,,,False,False,,
16983,30460.48745,2,30006401.95,0.5887780821426385,-0.398338209099063,,,False,False,,
16985,30460.538,2,30006411.92,0.6379591239693855,-0.3379914210667418,,,False,False,,
16987,30460.58807,2,30006421.9,0.5877034155391462,-0.3503626861360304,,,False,False,,
16989,30460.63811,2,30006431.87,0.6138114670091572,-0.3528924111005225,,,False,False,,
16991,30460.68815,2,30006441.84,0.680505634483624,-0.2704655593572445,,,False,False,,
16993,30460.73815,2,30006451.82,0.6766742872276476,-0.244106005687982,,,False,False,,
16995,30460.78833,2,30006461.79,0.7868739617421715,-0.1470029282630167,,,False,False,,
16997,30460.83941,2,30006471.76,0.8178186717109437,-0.0684528410750297,,,False,False,,
16999,30460.88859,2,30006481.73,0.8154884947671326,0.03762473920057,,,False,False,,
17001,30460.93925,2,30006491.71,0.7306790030186663,0.0944352306229445,,,False,False,,
17003,30460.98902,2,30006501.68,0.7420255362573159,0.1402373692283362,,,False,False,,
17005,30461.03926,2,30006511.65,0.6935770292134847,0.2342080833179081,,,False,False,,
17007,30461.08979,2,30006521.63,0.7820099888748986,0.4035525341919391,,,False,False,,
17009,30461.13942,2,30006531.6,0.875002030805494,0.4731325408782568,,,False,False,,
17011,30461.19045,2,30006541.57,0.9592098588895868,0.637079465600159,,,False,False,,
17013,30461.23976,2,30006551.55,1.085532624455747,0.8271738940794944,,,False,False,,
17015,30461.29009,2,30006561.52,1.2123836989053858,1.1079673958247327,,,False,False,,
17017,30461.34022,2,30006571.49,1.4149311671163407,1.6229987705234683,,,False,False,,
17019,30461.39141,2,30006581.46,1.4367858961774436,2.0007331343142334,,,False,False,,
17021,30461.44108,2,30006591.44,1.415858321062514,2.089855518867228,,,False,True,,
17023,30461.49106,2,30006601.41,1.5405411255715664,2.0870804419749662,,,True,False,,
17025,30461.54173,2,30006611.38,1.4508109461187828,1.9668640974220248,,,False,False,,
17027,30461.59133,2,30006621.36,1.4231004496910715,1.8484136370574769,,,False,False,,
17029,30461.64134,2,30006631.33,1.2015200884103387,1.743899380890211,,,False,False,,
17031,30461.69183,2,30006641.3,1.1007818566221146,1.6211499494555304,,,False,False,,
17033,30461.7418,2,30006651.28,0.9635712326444712,1.5096221848608944,,,False,False,,
17035,30461.79206,2,30006661.25,0.9177358115979848,1.3850841768634077,,,False,False,,
17037,30461.84216,2,30006671.22,0.8058778523701643,1.2543815760242214,,,False,False,,
17039,30461.89222,2,30006681.19,0.8750463148165045,1.211341028544127,,,False,False,,
17041,30461.94323,2,30006691.17,0.6693393871549553,1.1484901657544466,,,False,False,,
17043,30461.99263,2,30006701.14,0.730862936336999,1.1177335148101444,,,False,False,,
17045,30462.04335,2,30006711.11,0.6985654361347834,1.0466843049874293,,,False,False,,
17047,30462.093,2,30006721.09,0.5382818204568883,0.9603460571814464,,,False,False,,
17049,30462.14303,2,30006731.06,0.6271319453239192,0.954079921280022,,,False,False,,
17051,30462.19419,2,30006741.03,0.6255244280510379,0.914189779350472,,,False,False,,
17053,30462.2438,2,30006751.01,0.5482481667982267,0.8892980847704391,,,False,False,,
17055,30462.29358,2,30006760.98,0.583557593730845,0.8572748301107715,,,False,False,,
17057,30462.34376,2,30006770.95,0.6136687589315353,0.8994314128702068,,,False,False,,
17059,30462.39411,2,30006780.92,0.6140625336600437,0.8727829099183962,,,False,False,,
17061,30462.44413,2,30006790.9,0.6215452613543831,0.8417991375143252,,,False,False,,
17063,30462.49418,2,30006800.87,0.5882748967356461,0.7853079260480382,,,False,False,,
17065,30462.54515,2,30006810.84,0.5719061297453694,0.765777338411498,,,False,False,,
17067,30462.59462,2,30006820.82,0.5101417000164584,0.7252560586281412,,,False,False,,
17069,30462.64466,2,30006830.79,0.5348597076063444,0.7560865441839535,,,False,False,,
17071,30462.69532,2,30006840.76,0.6071692965669413,0.7000083699580998,,,False,False,,
17073,30462.74537,2,30006850.74,0.6027540601317473,0.7302850208811761,,,False,False,,
17075,30462.79526,2,30006860.71,0.563256732903157,0.7571751793867763,,,False,False,,
17077,30462.84582,2,30006870.68,0.4672719350927111,0.7760803453224517,,,False,False,,
17079,30462.89595,2,30006880.65,0.3636148424179367,0.6943403835964913,,,False,False,,
17081,30462.94574,2,30006890.63,0.4561064842049285,0.6390112385018514,,,False,False,,
17083,30462.99617,2,30006900.6,0.4448527568442888,0.5858292183057366,,,False,False,,
17085,30463.04599,2,30006910.57,0.2204925905903502,0.5376179333529482,,,False,False,,
17087,30463.09642,2,30006920.55,-0.0159322457616609,0.477367834144803,,,False,False,,
17089,30463.14737,2,30006930.52,-0.1122228094606721,0.3776923371908744,,,False,False,,
17091,30463.1966,2,30006940.49,-0.178462568599538,0.4420649839719192,,,False,False,,
17093,30463.24664,2,30006950.47,-0.2577959658270363,0.4002179748750082,,,False,False,,
17095,30463.29678,2,30006960.44,-0.2374979872538768,0.3490514252392329,,,False,False,,
17097,30463.34794,2,30006970.41,-0.3452416932527903,0.2648963621841453,,,False,False,,
17099,30463.39762,2,30006980.38,-0.2913904461546856,0.202984759352189,,,False,False,,
17101,30463.4473,2,30006990.36,-0.2879108468381914,0.1905218466861983,,,False,False,,
17103,30463.49787,2,30007000.33,-0.3203474117651329,0.1394687099273868,,,False,False,,
17105,30463.54804,2,30007010.3,-0.2035315389452447,0.1099192042501673,,,False,False,,
17107,30463.59891,2,30007020.28,-0.2190106689469074,0.114856102610856,,,False,False,,
17109,30463.64812,2,30007030.25,-0.1786696950385428,0.0657095408057356,,,False,False,,
17111,30463.69842,2,30007040.22,-0.2232544187274975,0.0773604067886963,,,False,False,,
17113,30463.74888,2,30007050.2,-0.1606466102224686,0.1182636841522213,,,False,False,,
